term,estimate,std.error,statistic,p.value
Neighborhood_NWAmes,-0.029206436664017354,0.013422620589823292,-2.1759116611074423,0.0297361003945801
Neighborhood_NoRidge,0.05248414878031026,0.01871690951017532,2.8041033564744016,0.005118486991542725
Neighborhood_NridgHt,0.06050789747034747,0.015991595647660818,3.783731079968765,1.6130960775314674e-4
Neighborhood_SWISU,0.03324858633639764,0.023577301787667475,1.4101947133657553,0.158714268352733
Neighborhood_Somerst,0.05038713332668063,0.013801228041106253,3.650916655866067,2.713624631940755e-4
Neighborhood_StoneBr,0.12691442762872168,0.02301475530532363,5.514480859997005,4.192320944206457e-8
Condition1_Artery,-0.08215042436757494,0.016413431865842282,-5.005072981631392,6.326078244941145e-7
Condition1_RRAe,-0.1273910600419276,0.031022444689574914,-4.106415897156466,4.261557703764597e-5
Condition1_RRAn,-0.041723903597817684,0.020688429128146182,-2.016774852231442,0.043918156221827626
Condition2_PosA,0.20762396342766776,0.10589021106377366,1.960747469873525,0.05011538066537791
BldgType_Duplex,-0.04312508201273061,0.021338804800644456,-2.0209698910328933,0.0434814180265604
BldgType_Twnhs,-0.06930428185236939,0.020953331222203667,-3.307554351020307,9.660979457837573e-4
BldgType_TwnhsE,-0.023214590230019108,0.012833760763313225,-1.8088688622263143,0.07069542683885333
HouseStyle_1.5Fin,0.019801008965890536,0.010771308753553725,1.8383104058137492,0.06623790251713407
HouseStyle_SLvl,0.021133889197014723,0.01358246826060707,1.555968237253966,0.11995177954579786
Exterior1st_BrkComm,-0.20255105382210012,0.07556145542520966,-2.680613451425431,0.007438868175122741
Exterior1st_BrkFace,0.03900303956976271,0.016702516811153312,2.3351594260164403,0.019682078465912377
Exterior1st_CemntBd,-0.10881536138676891,0.07267210270960685,-1.4973470882160689,0.13453847202167926
Exterior1st_HdBoard,-0.0358627348658404,0.008895869800307618,-4.031391608789089,5.857015774646808e-5
Exterior1st_Plywood,-0.036087315461592856,0.012095481548939585,-2.9835368947966066,0.002900939048351246
Exterior1st_Wd.Sdng,-0.06343455233873371,0.01670073374277682,-3.798309302797524,1.5220816187211543e-4
Exterior2nd_CmentBd,0.10928441309478894,0.07294998693318856,1.498073100340338,0.1343497788126367
Exterior2nd_Wd.Sdng,0.04266139141203604,0.016382869408093567,2.60402438360158,0.009315476405590105
MasVnrType_BrkCmn,-0.05706378253249886,0.029526131247433973,-1.932653555397919,0.05348940895271739
MasVnrType_NA,-0.05408731822095298,0.03635190656247662,-1.4878811962171832,0.13701750260376425
MasVnrType_Stone,0.01957352953527723,0.011236851388663902,1.7419051706088806,0.08175448964046658
ExterCond_Gd,-0.021360769045480423,0.009710780995208624,-2.1996963020811604,0.02799870134194419
Foundation_Stone,0.10739133779941001,0.043979166943071794,2.4418683950612614,0.014740052078847982
Foundation_Wood,-0.1569145141007388,0.059365770463949835,-2.6431816326889237,0.008308872993376772
BsmtQual_Ex,0.03135847390232077,0.013388722936701703,2.3421557119805407,0.019318485384485627
BsmtCond_Fa,-0.027678219210275603,0.016553592528021216,-1.6720370012384378,0.09475048560197712
BsmtCond_Po,0.158093656753351,0.0899407703052222,1.7577529769518958,0.07901785461309785
BsmtExposure_Gd,0.048091918121637586,0.011116164243671687,4.326305105559753,1.6288015255095653e-5
BsmtFinType2_BLQ,-0.0326656748051653,0.019211509154382248,-1.7003179991049315,0.08930317217994885
Heating_GasW,0.0677279914526826,0.02752529466805297,2.46057280292409,0.013996940435326686
Heating_Grav,-0.15573956484378196,0.04278250224596157,-3.640263113840727,2.827255151583855e-4
Heating_Wall,0.10295873147299757,0.05508094214980527,1.8692260417945947,0.06180935577940193
CentralAir_N,-0.063457587403587,0.014294666403046044,-4.4392492706276,9.768636254810565e-6
KitchenQual_Ex,0.05880760270693318,0.013856304100359994,4.244104508748861,2.3456883957264466e-5
Functional_Maj1,-0.09610180784841753,0.029817764959727728,-3.2229715398928764,0.0012992204655301806
Functional_Maj2,-0.3087364434562873,0.049417754235243944,-6.247480247414835,5.59146016999686e-10
Functional_Min1,-0.050351601650617035,0.019980515818215965,-2.5200351236534226,0.011849742808689574
Functional_Min2,-0.035883786578265166,0.018818796859402714,-1.9068055650080529,0.056759457221224434
Functional_Mod,-0.14537910103653212,0.029675932815904513,-4.898889006738069,1.0811813310170396e-6
Functional_Sev,-0.3615766396103053,0.10613699237103169,-3.406697622882628,6.770147427051622e-4
GarageType_2Types,-0.08063367439216945,0.04789374106833471,-1.6835952379898964,0.09249283631251187
GarageType_NA,-0.030971090324978027,0.016882805622516876,-1.8344753246268128,0.06680507388578932
GarageQual_Fa,-0.04587410541287168,0.01704874894424549,-2.6907608037923327,0.00721756215429999
GarageQual_Po,-0.17613714760944763,0.08677040105081725,-2.0299220180657294,0.042561698934394314
GarageCond_Po,0.14193358283798452,0.054844160369609235,2.587943399651973,0.009759486153569934
PavedDrive_N,-0.024867192836802457,0.013494063757634596,-1.8428246140999027,0.06557538971699645
SaleType_CWD,0.07368822578437054,0.05189732586353601,1.419884831409882,0.1558738125864308
SaleType_Con,0.11629342694433024,0.0714960737174349,1.6265708156778287,0.10406339859575843
SaleType_ConLD,0.11372169899065608,0.035680542926492406,3.1872188499188723,0.001469653440895146
SaleType_New,0.14558036356605983,0.062495772313967024,2.329443387541343,0.019983564706666356
SaleCondition_Abnorml,-0.06413557363948325,0.01102581111927556,-5.816857639376758,7.489822521820021e-9
SaleCondition_Family,-0.049079524163473026,0.023255044024085396,-2.110489410926982,0.03500111779841218
SaleCondition_Partial,-0.10105342429557759,0.06184148545114069,-1.6340717490594112,0.1024786826229502
BuiltAfter1920,-0.02647695089023063,0.01551848219767206,-1.7061559599045364,0.08821076378188084
YearRemodUnknown,1.5839863916397598,0.5071911381995114,3.1230561268534514,0.0018281671104495745
